location,appt_date,count,scrape_date
London,Tue 28 Jun,0,22/06/2022
Peterborough,Tue 28 Jun,0,22/06/2022
Newport,Tue 28 Jun,15,22/06/2022
Liverpool,Tue 28 Jun,1,22/06/2022
Durham,Tue 28 Jun,0,22/06/2022
Glasgow,Tue 28 Jun,0,22/06/2022
Belfast,Tue 28 Jun,4,22/06/2022
Birmingham,Tue 28 Jun,0,22/06/2022
London,Wed 29 Jun,0,22/06/2022
Peterborough,Wed 29 Jun,0,22/06/2022
Newport,Wed 29 Jun,16,22/06/2022
Liverpool,Wed 29 Jun,0,22/06/2022
Durham,Wed 29 Jun,0,22/06/2022
Glasgow,Wed 29 Jun,12,22/06/2022
Belfast,Wed 29 Jun,15,22/06/2022
Birmingham,Wed 29 Jun,0,22/06/2022
London,Thu 30 Jun,7,22/06/2022
Peterborough,Thu 30 Jun,1,22/06/2022
Newport,Thu 30 Jun,16,22/06/2022
Liverpool,Thu 30 Jun,0,22/06/2022
Durham,Thu 30 Jun,6,22/06/2022
Glasgow,Thu 30 Jun,17,22/06/2022
Belfast,Thu 30 Jun,15,22/06/2022
Birmingham,Thu 30 Jun,0,22/06/2022
London,Fri 1 Jul,10,22/06/2022
Peterborough,Fri 1 Jul,0,22/06/2022
Newport,Fri 1 Jul,16,22/06/2022
Liverpool,Fri 1 Jul,0,22/06/2022
Durham,Fri 1 Jul,7,22/06/2022
Glasgow,Fri 1 Jul,16,22/06/2022
Belfast,Fri 1 Jul,15,22/06/2022
Birmingham,Fri 1 Jul,0,22/06/2022
London,Sat 2 Jul,0,22/06/2022
Peterborough,Sat 2 Jul,0,22/06/2022
Newport,Sat 2 Jul,12,22/06/2022
Liverpool,Sat 2 Jul,0,22/06/2022
Durham,Sat 2 Jul,0,22/06/2022
Glasgow,Sat 2 Jul,0,22/06/2022
Belfast,Sat 2 Jul,10,22/06/2022
Birmingham,Sat 2 Jul,0,22/06/2022
London,Mon 4 Jul,0,22/06/2022
Peterborough,Mon 4 Jul,0,22/06/2022
Newport,Mon 4 Jul,0,22/06/2022
Liverpool,Mon 4 Jul,0,22/06/2022
Durham,Mon 4 Jul,11,22/06/2022
Glasgow,Mon 4 Jul,17,22/06/2022
Belfast,Mon 4 Jul,15,22/06/2022
Birmingham,Mon 4 Jul,0,22/06/2022
London,Tue 5 Jul,0,22/06/2022
Peterborough,Tue 5 Jul,0,22/06/2022
Newport,Tue 5 Jul,0,22/06/2022
Liverpool,Tue 5 Jul,0,22/06/2022
Durham,Tue 5 Jul,12,22/06/2022
Glasgow,Tue 5 Jul,17,22/06/2022
Belfast,Tue 5 Jul,15,22/06/2022
Birmingham,Tue 5 Jul,0,22/06/2022
London,Wed 6 Jul,0,22/06/2022
Peterborough,Wed 6 Jul,4,22/06/2022
Newport,Wed 6 Jul,0,22/06/2022
Liverpool,Wed 6 Jul,0,22/06/2022
Durham,Wed 6 Jul,12,22/06/2022
Glasgow,Wed 6 Jul,17,22/06/2022
Belfast,Wed 6 Jul,15,22/06/2022
Birmingham,Wed 6 Jul,0,22/06/2022
London,Thu 7 Jul,0,22/06/2022
Peterborough,Thu 7 Jul,18,22/06/2022
Newport,Thu 7 Jul,0,22/06/2022
Liverpool,Thu 7 Jul,0,22/06/2022
Durham,Thu 7 Jul,13,22/06/2022
Glasgow,Thu 7 Jul,17,22/06/2022
Belfast,Thu 7 Jul,15,22/06/2022
Birmingham,Thu 7 Jul,0,22/06/2022
London,Fri 8 Jul,0,22/06/2022
Peterborough,Fri 8 Jul,19,22/06/2022
Newport,Fri 8 Jul,0,22/06/2022
Liverpool,Fri 8 Jul,0,22/06/2022
Durham,Fri 8 Jul,12,22/06/2022
Glasgow,Fri 8 Jul,17,22/06/2022
Belfast,Fri 8 Jul,15,22/06/2022
Birmingham,Fri 8 Jul,0,22/06/2022
London,Sat 9 Jul,0,22/06/2022
Peterborough,Sat 9 Jul,4,22/06/2022
Newport,Sat 9 Jul,0,22/06/2022
Liverpool,Sat 9 Jul,0,22/06/2022
Durham,Sat 9 Jul,10,22/06/2022
Glasgow,Sat 9 Jul,9,22/06/2022
Belfast,Sat 9 Jul,11,22/06/2022
Birmingham,Sat 9 Jul,0,22/06/2022
London,Mon 11 Jul,0,22/06/2022
Peterborough,Mon 11 Jul,19,22/06/2022
Newport,Mon 11 Jul,0,22/06/2022
Liverpool,Mon 11 Jul,17,22/06/2022
Durham,Mon 11 Jul,12,22/06/2022
Glasgow,Mon 11 Jul,17,22/06/2022
Belfast,Mon 11 Jul,15,22/06/2022
Birmingham,Mon 11 Jul,0,22/06/2022
London,Tue 12 Jul,0,22/06/2022
Peterborough,Tue 12 Jul,19,22/06/2022
Newport,Tue 12 Jul,1,22/06/2022
Liverpool,Tue 12 Jul,19,22/06/2022
Durham,Tue 12 Jul,13,22/06/2022
Glasgow,Tue 12 Jul,17,22/06/2022
Belfast,Tue 12 Jul,0,22/06/2022
Birmingham,Tue 12 Jul,0,22/06/2022
London,Wed 13 Jul,0,22/06/2022
Peterborough,Wed 13 Jul,19,22/06/2022
Newport,Wed 13 Jul,11,22/06/2022
Liverpool,Wed 13 Jul,19,22/06/2022
Durham,Wed 13 Jul,12,22/06/2022
Glasgow,Wed 13 Jul,17,22/06/2022
Belfast,Wed 13 Jul,15,22/06/2022
Birmingham,Wed 13 Jul,0,22/06/2022
London,Tue 28 Jun,0,22/06/2022 20:41
Peterborough,Tue 28 Jun,1,22/06/2022 20:41
Newport,Tue 28 Jun,0,22/06/2022 20:41
Liverpool,Tue 28 Jun,0,22/06/2022 20:41
Durham,Tue 28 Jun,0,22/06/2022 20:41
Glasgow,Tue 28 Jun,0,22/06/2022 20:41
Belfast,Tue 28 Jun,0,22/06/2022 20:41
Birmingham,Tue 28 Jun,0,22/06/2022 20:41
London,Wed 29 Jun,0,22/06/2022 20:41
Peterborough,Wed 29 Jun,0,22/06/2022 20:41
Newport,Wed 29 Jun,0,22/06/2022 20:41
Liverpool,Wed 29 Jun,0,22/06/2022 20:41
Durham,Wed 29 Jun,0,22/06/2022 20:41
Glasgow,Wed 29 Jun,0,22/06/2022 20:41
Belfast,Wed 29 Jun,2,22/06/2022 20:41
Birmingham,Wed 29 Jun,0,22/06/2022 20:41
London,Thu 30 Jun,0,22/06/2022 20:41
Peterborough,Thu 30 Jun,0,22/06/2022 20:41
Newport,Thu 30 Jun,0,22/06/2022 20:41
Liverpool,Thu 30 Jun,0,22/06/2022 20:41
Durham,Thu 30 Jun,0,22/06/2022 20:41
Glasgow,Thu 30 Jun,0,22/06/2022 20:41
Belfast,Thu 30 Jun,15,22/06/2022 20:41
Birmingham,Thu 30 Jun,0,22/06/2022 20:41
London,Fri 1 Jul,0,22/06/2022 20:41
Peterborough,Fri 1 Jul,0,22/06/2022 20:41
Newport,Fri 1 Jul,0,22/06/2022 20:41
Liverpool,Fri 1 Jul,0,22/06/2022 20:41
Durham,Fri 1 Jul,0,22/06/2022 20:41
Glasgow,Fri 1 Jul,10,22/06/2022 20:41
Belfast,Fri 1 Jul,15,22/06/2022 20:41
Birmingham,Fri 1 Jul,0,22/06/2022 20:41
London,Sat 2 Jul,0,22/06/2022 20:41
Peterborough,Sat 2 Jul,0,22/06/2022 20:41
Newport,Sat 2 Jul,0,22/06/2022 20:41
Liverpool,Sat 2 Jul,0,22/06/2022 20:41
Durham,Sat 2 Jul,0,22/06/2022 20:41
Glasgow,Sat 2 Jul,0,22/06/2022 20:41
Belfast,Sat 2 Jul,10,22/06/2022 20:41
Birmingham,Sat 2 Jul,0,22/06/2022 20:41
London,Mon 4 Jul,0,22/06/2022 20:41
Peterborough,Mon 4 Jul,0,22/06/2022 20:41
Newport,Mon 4 Jul,0,22/06/2022 20:41
Liverpool,Mon 4 Jul,0,22/06/2022 20:41
Durham,Mon 4 Jul,6,22/06/2022 20:41
Glasgow,Mon 4 Jul,17,22/06/2022 20:41
Belfast,Mon 4 Jul,15,22/06/2022 20:41
Birmingham,Mon 4 Jul,0,22/06/2022 20:41
London,Tue 5 Jul,0,22/06/2022 20:41
Peterborough,Tue 5 Jul,0,22/06/2022 20:41
Newport,Tue 5 Jul,0,22/06/2022 20:41
Liverpool,Tue 5 Jul,0,22/06/2022 20:41
Durham,Tue 5 Jul,11,22/06/2022 20:41
Glasgow,Tue 5 Jul,17,22/06/2022 20:41
Belfast,Tue 5 Jul,15,22/06/2022 20:41
Birmingham,Tue 5 Jul,0,22/06/2022 20:41
London,Wed 6 Jul,0,22/06/2022 20:41
Peterborough,Wed 6 Jul,0,22/06/2022 20:41
Newport,Wed 6 Jul,0,22/06/2022 20:41
Liverpool,Wed 6 Jul,0,22/06/2022 20:41
Durham,Wed 6 Jul,12,22/06/2022 20:41
Glasgow,Wed 6 Jul,17,22/06/2022 20:41
Belfast,Wed 6 Jul,15,22/06/2022 20:41
Birmingham,Wed 6 Jul,0,22/06/2022 20:41
London,Thu 7 Jul,0,22/06/2022 20:41
Peterborough,Thu 7 Jul,0,22/06/2022 20:41
Newport,Thu 7 Jul,0,22/06/2022 20:41
Liverpool,Thu 7 Jul,0,22/06/2022 20:41
Durham,Thu 7 Jul,12,22/06/2022 20:41
Glasgow,Thu 7 Jul,17,22/06/2022 20:41
Belfast,Thu 7 Jul,15,22/06/2022 20:41
Birmingham,Thu 7 Jul,0,22/06/2022 20:41
London,Fri 8 Jul,0,22/06/2022 20:41
Peterborough,Fri 8 Jul,1,22/06/2022 20:41
Newport,Fri 8 Jul,0,22/06/2022 20:41
Liverpool,Fri 8 Jul,0,22/06/2022 20:41
Durham,Fri 8 Jul,12,22/06/2022 20:41
Glasgow,Fri 8 Jul,17,22/06/2022 20:41
Belfast,Fri 8 Jul,15,22/06/2022 20:41
Birmingham,Fri 8 Jul,0,22/06/2022 20:41
London,Sat 9 Jul,0,22/06/2022 20:41
Peterborough,Sat 9 Jul,0,22/06/2022 20:41
Newport,Sat 9 Jul,0,22/06/2022 20:41
Liverpool,Sat 9 Jul,0,22/06/2022 20:41
Durham,Sat 9 Jul,0,22/06/2022 20:41
Glasgow,Sat 9 Jul,0,22/06/2022 20:41
Belfast,Sat 9 Jul,11,22/06/2022 20:41
Birmingham,Sat 9 Jul,0,22/06/2022 20:41
London,Mon 11 Jul,0,22/06/2022 20:41
Peterborough,Mon 11 Jul,14,22/06/2022 20:41
Newport,Mon 11 Jul,0,22/06/2022 20:41
Liverpool,Mon 11 Jul,0,22/06/2022 20:41
Durham,Mon 11 Jul,12,22/06/2022 20:41
Glasgow,Mon 11 Jul,17,22/06/2022 20:41
Belfast,Mon 11 Jul,15,22/06/2022 20:41
Birmingham,Mon 11 Jul,0,22/06/2022 20:41
London,Wed 13 Jul,0,22/06/2022 20:41
Peterborough,Wed 13 Jul,17,22/06/2022 20:41
Newport,Wed 13 Jul,0,22/06/2022 20:41
Liverpool,Wed 13 Jul,16,22/06/2022 20:41
Durham,Wed 13 Jul,11,22/06/2022 20:41
Glasgow,Wed 13 Jul,17,22/06/2022 20:41
Belfast,Wed 13 Jul,15,22/06/2022 20:41
Birmingham,Wed 13 Jul,0,22/06/2022 20:41
London,Wed 29 Jun,0,23/06/2022 15:05
Peterborough,Wed 29 Jun,0,23/06/2022 15:05
Newport,Wed 29 Jun,0,23/06/2022 15:05
Liverpool,Wed 29 Jun,0,23/06/2022 15:05
Durham,Wed 29 Jun,0,23/06/2022 15:05
Glasgow,Wed 29 Jun,0,23/06/2022 15:05
Belfast,Wed 29 Jun,1,23/06/2022 15:05
Birmingham,Wed 29 Jun,0,23/06/2022 15:05
London,Thu 30 Jun,0,23/06/2022 15:05
Peterborough,Thu 30 Jun,0,23/06/2022 15:05
Newport,Thu 30 Jun,0,23/06/2022 15:05
Liverpool,Thu 30 Jun,0,23/06/2022 15:05
Durham,Thu 30 Jun,0,23/06/2022 15:05
Glasgow,Thu 30 Jun,0,23/06/2022 15:05
Belfast,Thu 30 Jun,15,23/06/2022 15:05
Birmingham,Thu 30 Jun,0,23/06/2022 15:05
London,Fri 1 Jul,0,23/06/2022 15:05
Peterborough,Fri 1 Jul,0,23/06/2022 15:05
Newport,Fri 1 Jul,1,23/06/2022 15:05
Liverpool,Fri 1 Jul,0,23/06/2022 15:05
Durham,Fri 1 Jul,1,23/06/2022 15:05
Glasgow,Fri 1 Jul,6,23/06/2022 15:05
Belfast,Fri 1 Jul,15,23/06/2022 15:05
Birmingham,Fri 1 Jul,0,23/06/2022 15:05
London,Sat 2 Jul,0,23/06/2022 15:05
Peterborough,Sat 2 Jul,0,23/06/2022 15:05
Newport,Sat 2 Jul,0,23/06/2022 15:05
Liverpool,Sat 2 Jul,0,23/06/2022 15:05
Durham,Sat 2 Jul,0,23/06/2022 15:05
Glasgow,Sat 2 Jul,0,23/06/2022 15:05
Belfast,Sat 2 Jul,9,23/06/2022 15:05
Birmingham,Sat 2 Jul,0,23/06/2022 15:05
London,Mon 4 Jul,0,23/06/2022 15:05
Peterborough,Mon 4 Jul,0,23/06/2022 15:05
Newport,Mon 4 Jul,0,23/06/2022 15:05
Liverpool,Mon 4 Jul,0,23/06/2022 15:05
Durham,Mon 4 Jul,7,23/06/2022 15:05
Glasgow,Mon 4 Jul,16,23/06/2022 15:05
Belfast,Mon 4 Jul,15,23/06/2022 15:05
Birmingham,Mon 4 Jul,0,23/06/2022 15:05
London,Tue 5 Jul,0,23/06/2022 15:05
Peterborough,Tue 5 Jul,0,23/06/2022 15:05
Newport,Tue 5 Jul,0,23/06/2022 15:05
Liverpool,Tue 5 Jul,0,23/06/2022 15:05
Durham,Tue 5 Jul,11,23/06/2022 15:05
Glasgow,Tue 5 Jul,17,23/06/2022 15:05
Belfast,Tue 5 Jul,15,23/06/2022 15:05
Birmingham,Tue 5 Jul,0,23/06/2022 15:05
London,Wed 6 Jul,0,23/06/2022 15:05
Peterborough,Wed 6 Jul,0,23/06/2022 15:05
Newport,Wed 6 Jul,0,23/06/2022 15:05
Liverpool,Wed 6 Jul,0,23/06/2022 15:05
Durham,Wed 6 Jul,12,23/06/2022 15:05
Glasgow,Wed 6 Jul,17,23/06/2022 15:05
Belfast,Wed 6 Jul,15,23/06/2022 15:05
Birmingham,Wed 6 Jul,0,23/06/2022 15:05
London,Thu 7 Jul,0,23/06/2022 15:05
Peterborough,Thu 7 Jul,0,23/06/2022 15:05
Newport,Thu 7 Jul,0,23/06/2022 15:05
Liverpool,Thu 7 Jul,0,23/06/2022 15:05
Durham,Thu 7 Jul,12,23/06/2022 15:05
Glasgow,Thu 7 Jul,17,23/06/2022 15:05
Belfast,Thu 7 Jul,15,23/06/2022 15:05
Birmingham,Thu 7 Jul,0,23/06/2022 15:05
London,Fri 8 Jul,0,23/06/2022 15:05
Peterborough,Fri 8 Jul,0,23/06/2022 15:05
Newport,Fri 8 Jul,0,23/06/2022 15:05
Liverpool,Fri 8 Jul,0,23/06/2022 15:05
Durham,Fri 8 Jul,12,23/06/2022 15:05
Glasgow,Fri 8 Jul,17,23/06/2022 15:05
Belfast,Fri 8 Jul,15,23/06/2022 15:05
Birmingham,Fri 8 Jul,0,23/06/2022 15:05
London,Sat 9 Jul,0,23/06/2022 15:05
Peterborough,Sat 9 Jul,0,23/06/2022 15:05
Newport,Sat 9 Jul,0,23/06/2022 15:05
