location,appt_date,count,scrape_date
London,Wed 26 Apr,nan,26/04/2023 15:18
Peterborough,Wed 26 Apr,nan,26/04/2023 15:18
Newport,Wed 26 Apr,nan,26/04/2023 15:18
Liverpool,Wed 26 Apr,nan,26/04/2023 15:18
Durham,Wed 26 Apr,nan,26/04/2023 15:18
Glasgow,Wed 26 Apr,nan,26/04/2023 15:18
Belfast,Wed 26 Apr,nan,26/04/2023 15:18
Birmingham,Wed 26 Apr,nan,26/04/2023 15:18
London,Thu 27 Apr,nan,26/04/2023 15:18
Peterborough,Thu 27 Apr,nan,26/04/2023 15:18
Newport,Thu 27 Apr,nan,26/04/2023 15:18
Liverpool,Thu 27 Apr,nan,26/04/2023 15:18
Durham,Thu 27 Apr,nan,26/04/2023 15:18
Glasgow,Thu 27 Apr,nan,26/04/2023 15:18
Belfast,Thu 27 Apr,nan,26/04/2023 15:18
Birmingham,Thu 27 Apr,nan,26/04/2023 15:18
London,Fri 28 Apr,nan,26/04/2023 15:18
Peterborough,Fri 28 Apr,nan,26/04/2023 15:18
Newport,Fri 28 Apr,nan,26/04/2023 15:18
Liverpool,Fri 28 Apr,nan,26/04/2023 15:18
Durham,Fri 28 Apr,nan,26/04/2023 15:18
Glasgow,Fri 28 Apr,nan,26/04/2023 15:18
Belfast,Fri 28 Apr,nan,26/04/2023 15:18
Birmingham,Fri 28 Apr,nan,26/04/2023 15:18
London,Sat 29 Apr,nan,26/04/2023 15:18
Peterborough,Sat 29 Apr,nan,26/04/2023 15:18
Newport,Sat 29 Apr,nan,26/04/2023 15:18
Liverpool,Sat 29 Apr,nan,26/04/2023 15:18
Durham,Sat 29 Apr,nan,26/04/2023 15:18
Glasgow,Sat 29 Apr,nan,26/04/2023 15:18
Belfast,Sat 29 Apr,nan,26/04/2023 15:18
Birmingham,Sat 29 Apr,nan,26/04/2023 15:18
London,Sun 30 Apr,nan,26/04/2023 15:18
Peterborough,Sun 30 Apr,nan,26/04/2023 15:18
Newport,Sun 30 Apr,nan,26/04/2023 15:18
Liverpool,Sun 30 Apr,nan,26/04/2023 15:18
Durham,Sun 30 Apr,nan,26/04/2023 15:18
Glasgow,Sun 30 Apr,nan,26/04/2023 15:18
Belfast,Sun 30 Apr,nan,26/04/2023 15:18
Birmingham,Sun 30 Apr,nan,26/04/2023 15:18
London,Mon 01 May,nan,26/04/2023 15:18
Peterborough,Mon 01 May,nan,26/04/2023 15:18
Newport,Mon 01 May,nan,26/04/2023 15:18
Liverpool,Mon 01 May,nan,26/04/2023 15:18
Durham,Mon 01 May,nan,26/04/2023 15:18
Glasgow,Mon 01 May,nan,26/04/2023 15:18
Belfast,Mon 01 May,nan,26/04/2023 15:18
Birmingham,Mon 01 May,nan,26/04/2023 15:18
London,Tue 02 May,nan,26/04/2023 15:18
Peterborough,Tue 02 May,nan,26/04/2023 15:18
Newport,Tue 02 May,nan,26/04/2023 15:18
Liverpool,Tue 02 May,nan,26/04/2023 15:18
Durham,Tue 02 May,nan,26/04/2023 15:18
